,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Source_NodeType,Target_NodeType
0,616050,4,590502,-662041253,0.166667,,,,,,,1,3
1,599956,0,635665,1296000,1.0,,,,,,,1,1
2,599956,0,490041,1306507,1.0,,,,,,,1,1
3,599956,0,490041,1312679,1.0,,,,,,,1,1
4,490041,0,599956,1314435,1.0,,,,,,,1,1
5,490041,0,599956,1331859,1.0,,,,,,,1,1
6,490041,0,635665,1350583,1.0,,,,,,,1,1
7,599956,0,635665,1368949,1.0,,,,,,,1,1
8,490041,0,599956,1390083,1.0,,,,,,,1,1
9,490041,1,589639,1417381,1.0,0.0,0.0,34.5741,-42.0541,30.4483,-42.5341,1,1
10,599956,1,635665,1423376,1.0,0.0,0.0,34.2958,-39.026,29.3296,-37.8076,1,1
11,599956,0,589639,1437564,1.0,,,,,,,1,1
12,599956,1,589639,1465986,1.0,0.0,0.0,34.2958,-39.026,30.4483,-42.5341,1,1
13,490041,1,635665,1523000,1.0,0.0,0.0,34.5741,-42.0541,29.3296,-37.8076,1,1
14,599956,1,589639,1536819,1.0,0.0,0.0,34.2958,-39.026,30.4483,-42.5341,1,1
15,599956,1,589639,1540919,1.0,0.0,0.0,34.2958,-39.026,30.4483,-42.5341,1,1
16,599956,0,589639,1565941,1.0,,,,,,,1,1
17,490041,1,589639,1568399,1.0,0.0,0.0,34.5741,-42.0541,30.4483,-42.5341,1,1
18,599956,0,635665,1576780,1.0,,,,,,,1,1
19,490041,0,589639,1598371,1.0,,,,,,,1,1
20,490041,0,635665,1617847,1.0,,,,,,,1,1
21,599956,0,490041,1631939,1.0,,,,,,,1,1
22,599956,0,635665,1662551,1.0,,,,,,,1,1
23,490041,0,635665,1663236,1.0,,,,,,,1,1
24,599956,0,589639,1674446,1.0,,,,,,,1,1
25,599956,0,635665,1689032,1.0,,,,,,,1,1
26,599956,0,589639,1692550,1.0,,,,,,,1,1
27,599956,0,635665,1693300,1.0,,,,,,,1,1
28,490041,1,589639,1694726,1.0,0.0,0.0,34.5741,-42.0541,30.4483,-42.5341,1,1
29,490041,1,589639,1734364,1.0,0.0,0.0,34.5741,-42.0541,30.4483,-42.5341,1,1
30,490041,1,635665,1743198,1.0,0.0,0.0,34.5741,-42.0541,29.3296,-37.8076,1,1
31,490041,1,599956,1768587,1.0,0.0,0.0,34.5741,-42.0541,34.2958,-39.026,1,1
32,490041,0,599956,1773043,1.0,,,,,,,1,1
33,599956,1,490041,1789643,1.0,0.0,0.0,34.2958,-39.026,34.5741,-42.0541,1,1
34,490041,0,589639,1812906,1.0,,,,,,,1,1
35,490041,0,599956,1815837,1.0,,,,,,,1,1
36,599956,1,490041,1821622,1.0,0.0,0.0,34.2958,-39.026,34.5741,-42.0541,1,1
37,490041,0,589639,1830106,1.0,,,,,,,1,1
38,599956,1,589639,1832626,1.0,0.0,0.0,34.2958,-39.026,30.4483,-42.5341,1,1
39,490041,1,635665,1844976,1.0,0.0,0.0,34.5741,-42.0541,29.3296,-37.8076,1,1
40,599956,0,635665,1847895,1.0,,,,,,,1,1
41,490041,0,599956,1869418,1.0,,,,,,,1,1
42,490041,1,589639,1870295,1.0,0.0,0.0,34.5741,-42.0541,30.4483,-42.5341,1,1
43,533140,0,591682,2300427,1.0,,,,,,,1,1
44,568093,0,616050,2720925,1.0,,,,,,,1,1
45,632150,1,635665,2806344,1.0,2.0,0.0,-27.2563,91.7676,29.3296,-37.8076,1,1
46,635665,1,568093,3314951,1.0,0.0,0.0,29.3296,-37.8076,28.3004,-47.4036,1,1
47,616050,1,632150,3487438,1.0,2.0,2.0,-20.9062,92.3982,-27.2563,91.7676,1,1
48,632150,1,568093,3796266,1.0,2.0,0.0,-27.2563,91.7676,28.3004,-47.4036,1,1
49,568093,0,632150,3838156,1.0,,,,,,,1,1
50,533140,0,464459,4130014,1.0,,,,,,,1,1
51,533140,0,616050,4201266,1.0,,,,,,,1,1
52,533140,0,616050,4333271,1.0,,,,,,,1,1
53,568093,0,533140,4812138,1.0,,,,,,,1,1
54,635665,0,512397,5288962,1.0,,,,,,,1,1
55,632150,1,635665,5599120,1.0,2.0,0.0,-27.2563,91.7676,29.3296,-37.8076,1,1
56,635665,0,550287,5626655,1.0,,,,,,,1,1
57,512397,0,635665,5717144,1.0,,,,,,,1,1
58,635665,0,559657,5739273,1.0,,,,,,,1,1
59,635665,0,616050,5895251,1.0,,,,,,,1,1
60,512397,0,635665,6064497,1.0,,,,,,,1,1
61,533140,1,591682,6064987,1.0,2.0,2.0,-21.8004,89.7045,-22.6503,92.6106,1,1
62,635665,0,550287,6147265,1.0,,,,,,,1,1
63,635665,0,512397,6186726,1.0,,,,,,,1,1
64,533140,0,591682,6360806,1.0,,,,,,,1,1
65,568093,0,464459,6508928,1.0,,,,,,,1,1
66,635665,0,512397,6571211,1.0,,,,,,,1,1
67,635665,1,533140,6713226,1.0,0.0,2.0,29.3296,-37.8076,-21.8004,89.7045,1,1
68,635665,0,559657,6714914,1.0,,,,,,,1,1
69,616050,1,533140,6731066,1.0,2.0,2.0,-20.9062,92.3982,-21.8004,89.7045,1,1
70,533140,1,616050,6977386,1.0,2.0,2.0,-21.8004,89.7045,-20.9062,92.3982,1,1
71,568093,0,632150,7035286,1.0,,,,,,,1,1
72,635665,0,559657,7083468,1.0,,,,,,,1,1
73,635665,0,559657,7094212,1.0,,,,,,,1,1
74,512397,0,635665,7168878,1.0,,,,,,,1,1
75,632150,1,464459,7485417,1.0,2.0,0.0,-27.2563,91.7676,25.0754,-40.6293,1,1
76,635665,0,559657,7491939,1.0,,,,,,,1,1
77,616050,1,533140,7527116,1.0,2.0,2.0,-20.9062,92.3982,-21.8004,89.7045,1,1
78,635665,0,512397,7575721,1.0,,,,,,,1,1
79,533140,0,464459,7649729,1.0,,,,,,,1,1
80,533140,0,464459,7848257,1.0,,,,,,,1,1
81,635665,0,512397,8102731,1.0,,,,,,,1,1
82,635665,1,533140,8239192,1.0,0.0,2.0,29.3296,-37.8076,-21.8004,89.7045,1,1
83,512397,0,635665,8272124,1.0,,,,,,,1,1
84,623295,0,635665,8290018,1.0,,,,,,,1,1
85,599956,1,492777,8304372,1.0,0.0,3.0,34.2958,-39.026,-24.5657,-110.65,1,1
86,599956,0,570411,8356067,1.0,,,,,,,1,1
87,589639,0,635665,8358490,1.0,,,,,,,1,1
88,550287,0,512397,8408133,1.0,,,,,,,1,1
89,550361,0,490041,8444702,1.0,,,,,,,1,1
90,599956,0,493044,8465663,1.0,,,,,,,1,1
91,599956,0,635665,8677838,1.0,,,,,,,1,1
92,550287,0,512397,8684963,1.0,,,,,,,1,1
93,599956,1,492777,8709595,1.0,0.0,3.0,34.2958,-39.026,-24.5657,-110.65,1,1
94,599956,1,492777,8718680,1.0,0.0,3.0,34.2958,-39.026,-24.5657,-110.65,1,1
95,596193,0,635665,8728337,1.0,,,,,,,1,1
96,550361,0,596193,8745034,1.0,,,,,,,1,1
97,596193,0,492777,8756900,1.0,,,,,,,1,1
98,599956,1,493044,8761720,1.0,0.0,2.0,34.2958,-39.026,-20.8686,89.4217,1,1
99,490041,0,599956,8771959,1.0,,,,,,,1,1
100,550361,0,589639,8789089,1.0,,,,,,,1,1
101,512397,0,550287,8811852,1.0,,,,,,,1,1
102,599956,1,635665,8847370,1.0,0.0,0.0,34.2958,-39.026,29.3296,-37.8076,1,1
103,550287,0,512397,8890301,1.0,,,,,,,1,1
104,623295,0,550361,8894109,1.0,,,,,,,1,1
105,599956,0,640464,8904016,1.0,,,,,,,1,1
106,599956,1,490041,8938744,1.0,0.0,0.0,34.2958,-39.026,34.5741,-42.0541,1,1
107,568093,0,632150,8962019,1.0,,,,,,,1,1
108,599956,1,493044,8985798,1.0,0.0,2.0,34.2958,-39.026,-20.8686,89.4217,1,1
109,599956,0,570411,8994500,1.0,,,,,,,1,1
110,599956,1,589639,8997941,1.0,0.0,0.0,34.2958,-39.026,30.4483,-42.5341,1,1
111,596193,0,492777,9012009,1.0,,,,,,,1,1
112,568093,0,616050,9076579,1.0,,,,,,,1,1
113,623295,0,635665,9094353,1.0,,,,,,,1,1
114,490041,1,550361,9100993,1.0,0.0,2.0,34.5741,-42.0541,-18.3758,91.025,1,1
115,599956,1,570411,9102661,1.0,0.0,0.0,34.2958,-39.026,32.6654,-48.6701,1,1
116,616050,1,464459,9118391,1.0,2.0,0.0,-20.9062,92.3982,25.0754,-40.6293,1,1
117,623295,0,589639,9145435,1.0,,,,,,,1,1
118,589639,0,550361,9150468,1.0,,,,,,,1,1
119,568093,0,635665,9161797,1.0,,,,,,,1,1
120,623295,0,596193,9162596,1.0,,,,,,,1,1
121,599956,0,640464,9189819,1.0,,,,,,,1,1
122,490041,1,623295,9269917,1.0,0.0,3.0,34.5741,-42.0541,-25.4639,-111.249,1,1
123,599956,1,596193,9312133,1.0,0.0,2.0,34.2958,-39.026,-17.1099,90.7971,1,1
124,599956,0,490041,9328701,1.0,,,,,,,1,1
125,623295,0,550361,9335884,1.0,,,,,,,1,1
126,623295,0,570411,9341506,1.0,,,,,,,1,1
127,599956,0,623295,9369606,1.0,,,,,,,1,1
128,623295,0,640464,9392429,1.0,,,,,,,1,1
129,596193,0,640464,9409103,1.0,,,,,,,1,1
130,599956,1,589639,9523757,1.0,0.0,0.0,34.2958,-39.026,30.4483,-42.5341,1,1
131,623295,0,570411,9533579,1.0,,,,,,,1,1
132,635665,1,616050,9566701,1.0,0.0,2.0,29.3296,-37.8076,-20.9062,92.3982,1,1
133,599956,0,550361,9594811,1.0,,,,,,,1,1
134,599956,1,589639,9631198,1.0,0.0,0.0,34.2958,-39.026,30.4483,-42.5341,1,1
135,599956,0,490041,9634710,1.0,,,,,,,1,1
136,599956,0,570411,9645937,1.0,,,,,,,1,1
137,568093,0,632150,9743545,1.0,,,,,,,1,1
138,623295,0,490041,9810911,1.0,,,,,,,1,1
139,632150,1,533140,9824045,1.0,2.0,2.0,-27.2563,91.7676,-21.8004,89.7045,1,1
140,589639,0,490041,9843778,1.0,,,,,,,1,1
141,599956,1,635665,9880536,1.0,0.0,0.0,34.2958,-39.026,29.3296,-37.8076,1,1
142,616050,1,635665,9885133,1.0,2.0,0.0,-20.9062,92.3982,29.3296,-37.8076,1,1
143,589639,0,490041,9889908,1.0,,,,,,,1,1
144,550361,0,493044,9893984,1.0,,,,,,,1,1
145,464459,1,632150,9913520,1.0,0.0,2.0,25.0754,-40.6293,-27.2563,91.7676,1,1
146,490041,1,640464,9947058,1.0,0.0,0.0,34.5741,-42.0541,35.8806,-34.5372,1,1
147,599956,1,623295,9994548,1.0,0.0,3.0,34.2958,-39.026,-25.4639,-111.249,1,1
148,599956,1,490041,10008400,1.0,0.0,0.0,34.2958,-39.026,34.5741,-42.0541,1,1
149,623295,0,570411,10018468,1.0,,,,,,,1,1
150,550361,0,599956,10112171,1.0,,,,,,,1,1
151,490041,0,493044,10125697,1.0,,,,,,,1,1
152,596193,0,493044,10196465,1.0,,,,,,,1,1
153,550361,0,623295,10204276,1.0,,,,,,,1,1
154,635665,1,632150,10206980,1.0,0.0,2.0,29.3296,-37.8076,-27.2563,91.7676,1,1
155,490041,0,492777,10222243,1.0,,,,,,,1,1
156,550287,2,657187,10250285,170.0,,,,,,,1,2
157,512397,3,657187,10250285,170.0,,,,,,,1,2
158,599956,0,635665,10372830,1.0,,,,,,,1,1
159,550361,0,640464,10380701,1.0,,,,,,,1,1
160,490041,0,493044,10392303,1.0,,,,,,,1,1
161,512397,0,550287,10409865,1.0,,,,,,,1,1
162,632150,1,464459,10415195,1.0,2.0,0.0,-27.2563,91.7676,25.0754,-40.6293,1,1
163,632150,1,591682,10427425,1.0,2.0,2.0,-27.2563,91.7676,-22.6503,92.6106,1,1
164,599956,1,550361,10446305,1.0,0.0,2.0,34.2958,-39.026,-18.3758,91.025,1,1
165,616050,1,533140,10498974,1.0,2.0,2.0,-20.9062,92.3982,-21.8004,89.7045,1,1
166,623295,0,550361,10526722,1.0,,,,,,,1,1
167,599956,1,589639,10537005,1.0,0.0,0.0,34.2958,-39.026,30.4483,-42.5341,1,1
168,599956,0,550361,10558740,1.0,,,,,,,1,1
169,550361,0,490041,10576646,1.0,,,,,,,1,1
170,623295,0,490041,10593205,1.0,,,,,,,1,1
171,599956,1,492777,10596463,1.0,0.0,3.0,34.2958,-39.026,-24.5657,-110.65,1,1
172,623295,0,599956,10604700,1.0,,,,,,,1,1
173,490041,0,599956,10644256,1.0,,,,,,,1,1
174,616050,1,533140,10924087,1.0,2.0,2.0,-20.9062,92.3982,-21.8004,89.7045,1,1
175,632150,1,533140,11000457,1.0,2.0,2.0,-27.2563,91.7676,-21.8004,89.7045,1,1
176,632150,1,464459,11103646,1.0,2.0,0.0,-27.2563,91.7676,25.0754,-40.6293,1,1
177,568093,0,591682,11438695,1.0,,,,,,,1,1
