,Unnamed: 0,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,parent,depth,Source_NodeType,Target_NodeType
0,151203,600971,4,463021,-508376182,0.25,,,,,,,600971,-1,1,3
1,251560,600971,4,607498,-541121782,0.333333,,,,,,,600971,-1,1,3
2,251616,600971,4,530665,-656897782,0.25,,,,,,,600971,-1,1,3
3,251658,600971,4,579269,-685755382,0.166667,,,,,,,600971,-1,1,3
4,470644,600971,1,544636,15163602,1.0,0.0,3.0,37.5294,-41.5884,-23.8755,-111.541,600971,-1,1,1
5,539053,600971,1,498608,16520421,1.0,0.0,3.0,37.5294,-41.5884,-24.4928,-111.08,600971,-1,1,1
6,765954,600971,1,495711,27765727,1.0,0.0,3.0,37.5294,-41.5884,-25.0321,-111.211,600971,-1,1,1
7,849908,600971,1,507346,29728822,1.0,0.0,0.0,37.5294,-41.5884,24.4182,-39.0987,600971,-1,1,1
8,885778,600971,1,458365,28399738,1.0,0.0,3.0,37.5294,-41.5884,-25.3404,-110.732,600971,-1,1,1
9,1049490,600971,0,596866,31439805,1.0,,,,,,,600971,-1,1,1
10,1563258,600971,1,532753,3462138,1.0,0.0,5.0,37.5294,-41.5884,20.1631,157.94,600971,-1,1,1
11,2407877,600971,0,505857,9805008,1.0,,,,,,,600971,-1,1,1
12,2593363,600971,1,617516,29053916,1.0,0.0,1.0,37.5294,-41.5884,-28.3052,-8.67496,600971,-1,1,1
13,2621309,600971,0,655639,6568375,1.0,,,,,,,600971,-1,1,1
14,2632436,600971,1,589033,18240766,1.0,0.0,1.0,37.5294,-41.5884,-28.2509,-13.7172,600971,-1,1,1
15,2870467,600971,1,610477,12744525,1.0,0.0,1.0,37.5294,-41.5884,-29.6503,-10.6554,600971,-1,1,1
16,3393412,600971,0,657533,2857132,1.0,,,,,,,600971,-1,1,1
17,4443744,600971,1,479674,4329388,1.0,0.0,0.0,37.5294,-41.5884,36.9583,-39.6605,600971,-1,1,1
18,5000381,600971,0,486926,29483534,1.0,,,,,,,600971,-1,1,1
