,Unnamed: 0_x,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Source_NodeType,Target_NodeType,similar_template_node,similarity
0,0,619322,3,590442,96346,17.0,,,,,,,1,2,45.0,63.12863624124503
1,1,594308,0,549840,105656,1.0,,,,,,,1,1,,0.0
2,2,524153,3,629769,307922,4.0,,,,,,,1,2,56.0,64.76885148062729
3,3,524153,3,461577,449990,1923.0,,,,,,,1,2,56.0,64.76885148062729
4,4,619322,3,547205,634562,242.0,,,,,,,1,2,45.0,63.12863624124503
5,5,483784,0,631903,975525,1.0,,,,,,,1,1,,0.0
6,6,619322,2,549891,1445076,6663.0,,,,,,,1,2,45.0,63.12863624124503
7,7,524153,3,632485,1665011,108.0,,,,,,,1,2,56.0,64.76885148062729
8,8,549840,0,619322,1674004,1.0,,,,,,,1,1,,0.0
9,9,619322,6,657173,1987200,8.0,5.0,1.0,22.0,156.0,-29.0,-13.0,1,5,45.0,63.12863624124503
10,10,619322,6,657173,1987200,8.0,5.0,1.0,22.0,156.0,-29.0,-13.0,1,5,45.0,63.12863624124503
11,11,619322,6,657173,1987200,8.0,5.0,1.0,22.0,156.0,-29.0,-13.0,1,5,45.0,63.12863624124503
12,12,619322,6,657173,1987200,8.0,5.0,1.0,22.0,156.0,-29.0,-13.0,1,5,45.0,63.12863624124503
13,13,619322,6,657173,1987200,8.0,5.0,1.0,22.0,156.0,-29.0,-13.0,1,5,45.0,63.12863624124503
14,14,594308,1,477657,2053209,1.0,2.0,4.0,-24.1761,93.8902,-1.17279,-170.646,1,1,,0.0
15,15,524153,2,620947,3116332,821.0,,,,,,,1,2,56.0,64.76885148062729
16,16,524153,3,492039,3142346,1.0,,,,,,,1,2,56.0,64.76885148062729
17,17,594308,6,616453,3283200,1.0,2.0,5.0,-22.0,91.0,22.0,156.0,1,5,,0.0
18,18,594308,6,616453,3283200,1.0,2.0,5.0,-22.0,91.0,22.0,156.0,1,5,,0.0
19,19,594308,6,616453,3283200,1.0,2.0,5.0,-22.0,91.0,22.0,156.0,1,5,,0.0
20,20,594308,6,616453,3283200,1.0,2.0,5.0,-22.0,91.0,22.0,156.0,1,5,,0.0
21,21,594308,6,616453,3283200,1.0,2.0,5.0,-22.0,91.0,22.0,156.0,1,5,,0.0
22,22,524153,3,483999,3402295,39.0,,,,,,,1,2,56.0,64.76885148062729
23,23,524153,3,644754,4504258,72.0,,,,,,,1,2,56.0,64.76885148062729
24,24,524153,3,525263,4680024,719.0,,,,,,,1,2,56.0,64.76885148062729
25,25,483784,1,619322,4699152,1.0,0.0,3.0,32.2503,-40.4067,-24.2286,-111.129,1,1,,0.0
26,26,477657,6,616453,4924800,0.0,0.0,5.0,33.0,-41.0,22.0,156.0,1,5,,0.0
27,27,477657,6,616453,4924800,0.0,0.0,5.0,33.0,-41.0,22.0,156.0,1,5,,0.0
28,28,477657,6,616453,4924800,0.0,0.0,5.0,33.0,-41.0,22.0,156.0,1,5,,0.0
29,29,477657,6,616453,4924800,0.0,0.0,5.0,33.0,-41.0,22.0,156.0,1,5,,0.0
30,30,477657,6,616453,4924800,0.0,0.0,5.0,33.0,-41.0,22.0,156.0,1,5,,0.0
31,31,619322,3,532852,5485356,1927.0,,,,,,,1,2,45.0,63.12863624124503
32,32,477657,6,625756,5702400,3.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1,5,,0.0
33,33,477657,6,625756,5702400,3.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1,5,,0.0
34,34,477657,6,625756,5702400,3.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1,5,,0.0
35,35,477657,6,625756,5702400,3.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1,5,,0.0
36,36,477657,6,625756,5702400,3.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1,5,,0.0
37,37,524153,3,517649,6308560,165.0,,,,,,,1,2,56.0,64.76885148062729
38,38,619322,6,509607,6652800,3.0,3.0,4.0,-25.0,-111.0,1.0,-165.0,1,5,45.0,63.12863624124503
39,39,619322,6,509607,6652800,3.0,3.0,4.0,-25.0,-111.0,1.0,-165.0,1,5,45.0,63.12863624124503
40,40,619322,6,509607,6652800,3.0,3.0,4.0,-25.0,-111.0,1.0,-165.0,1,5,45.0,63.12863624124503
41,41,619322,6,509607,6652800,3.0,3.0,4.0,-25.0,-111.0,1.0,-165.0,1,5,45.0,63.12863624124503
42,42,619322,6,509607,6652800,3.0,3.0,4.0,-25.0,-111.0,1.0,-165.0,1,5,45.0,63.12863624124503
43,43,524153,3,587437,6748571,85.0,,,,,,,1,2,56.0,64.76885148062729
44,44,619322,2,549891,6950206,520.0,,,,,,,1,2,45.0,63.12863624124503
45,45,524153,3,623736,7431853,198.0,,,,,,,1,2,56.0,64.76885148062729
46,46,631903,2,493358,7577296,427.0,,,,,,,1,2,,0.0
47,47,477657,6,616453,7603200,0.0,4.0,5.0,1.0,-165.0,22.0,156.0,1,5,,0.0
48,48,477657,6,616453,7603200,0.0,4.0,5.0,1.0,-165.0,22.0,156.0,1,5,,0.0
49,49,477657,6,616453,7603200,0.0,4.0,5.0,1.0,-165.0,22.0,156.0,1,5,,0.0
50,50,477657,6,616453,7603200,0.0,4.0,5.0,1.0,-165.0,22.0,156.0,1,5,,0.0
51,51,477657,6,616453,7603200,0.0,4.0,5.0,1.0,-165.0,22.0,156.0,1,5,,0.0
52,52,483784,1,561819,7920737,1.0,0.0,1.0,32.2503,-40.4067,-27.4766,-14.6148,1,1,,0.0
53,53,483784,6,561157,7948800,-1.0,3.0,0.0,-25.0,-111.0,33.0,-41.0,1,5,,0.0
54,54,483784,6,561157,7948800,-1.0,3.0,0.0,-25.0,-111.0,33.0,-41.0,1,5,,0.0
55,55,483784,6,561157,7948800,-1.0,3.0,0.0,-25.0,-111.0,33.0,-41.0,1,5,,0.0
56,56,483784,6,561157,7948800,-1.0,3.0,0.0,-25.0,-111.0,33.0,-41.0,1,5,,0.0
57,57,483784,6,561157,7948800,-1.0,3.0,0.0,-25.0,-111.0,33.0,-41.0,1,5,,0.0
58,58,619322,6,509607,8294400,3.0,3.0,4.0,-25.0,-111.0,1.0,-165.0,1,5,45.0,63.12863624124503
59,59,619322,6,509607,8294400,3.0,3.0,4.0,-25.0,-111.0,1.0,-165.0,1,5,45.0,63.12863624124503
