,Unnamed: 0_x,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Source_NodeType,Target_NodeType,similar_template_node,similarity
0,0,563211,4,564798,-732727926,0.0188679,,,,,,,1,3,65.0,58.69711579473559
1,1,563211,4,627390,-496596726,0.2,,,,,,,1,3,65.0,58.69711579473559
2,2,563211,4,561114,-277745526,0.25,,,,,,,1,3,65.0,58.69711579473559
3,3,541017,4,601492,-64423926,0.142857,,,,,,,1,3,,0.0
4,4,572413,1,629627,1296000,1.0,4.0,4.0,-2.24962,-165.651,-1.16067,-162.983,1,1,45.0,53.70331606525152
5,5,572413,1,505965,1302571,1.0,4.0,4.0,-2.24962,-165.651,-3.88606,-166.186,1,1,45.0,53.70331606525152
6,6,505965,0,629627,1308663,1.0,,,,,,,1,1,58.0,71.36260669364304
7,7,572413,1,505965,1316274,1.0,4.0,4.0,-2.24962,-165.651,-3.88606,-166.186,1,1,45.0,53.70331606525152
8,8,629627,1,515794,1316615,1.0,4.0,4.0,-1.16067,-162.983,6.71518,-165.251,1,1,39.0,88.01637179364411
9,9,505965,0,515794,1325061,1.0,,,,,,,1,1,58.0,71.36260669364304
10,10,572413,1,629627,1336641,1.0,4.0,4.0,-2.24962,-165.651,-1.16067,-162.983,1,1,45.0,53.70331606525152
11,11,572413,1,515794,1355121,1.0,4.0,4.0,-2.24962,-165.651,6.71518,-165.251,1,1,45.0,53.70331606525152
12,12,515794,1,505965,1360796,1.0,4.0,4.0,6.71518,-165.251,-3.88606,-166.186,1,1,,0.0
13,13,515794,1,505965,1368519,1.0,4.0,4.0,6.71518,-165.251,-3.88606,-166.186,1,1,,0.0
14,14,572413,1,505965,1368710,1.0,4.0,4.0,-2.24962,-165.651,-3.88606,-166.186,1,1,45.0,53.70331606525152
15,15,505965,0,515794,1372640,1.0,,,,,,,1,1,58.0,71.36260669364304
16,16,572413,1,515794,1380370,1.0,4.0,4.0,-2.24962,-165.651,6.71518,-165.251,1,1,45.0,53.70331606525152
17,17,505965,0,515794,1431512,1.0,,,,,,,1,1,58.0,71.36260669364304
18,18,629627,1,515794,1466354,1.0,4.0,4.0,-1.16067,-162.983,6.71518,-165.251,1,1,39.0,88.01637179364411
19,19,572413,1,505965,1475513,1.0,4.0,4.0,-2.24962,-165.651,-3.88606,-166.186,1,1,45.0,53.70331606525152
20,20,515794,1,505965,1477390,1.0,4.0,4.0,6.71518,-165.251,-3.88606,-166.186,1,1,,0.0
21,21,572413,1,629627,1503450,1.0,4.0,4.0,-2.24962,-165.651,-1.16067,-162.983,1,1,45.0,53.70331606525152
22,22,515794,1,629627,1518265,1.0,4.0,4.0,6.71518,-165.251,-1.16067,-162.983,1,1,,0.0
23,23,515794,1,505965,1532336,1.0,4.0,4.0,6.71518,-165.251,-3.88606,-166.186,1,1,,0.0
24,24,505965,0,629627,1538449,1.0,,,,,,,1,1,58.0,71.36260669364304
25,25,515794,0,629627,1578355,1.0,,,,,,,1,1,,0.0
26,26,515794,0,505965,1589475,1.0,,,,,,,1,1,,0.0
27,27,515794,1,629627,1609697,1.0,4.0,4.0,6.71518,-165.251,-1.16067,-162.983,1,1,,0.0
28,28,515794,0,505965,1630374,1.0,,,,,,,1,1,,0.0
29,29,515794,0,629627,1637146,1.0,,,,,,,1,1,,0.0
30,30,515794,0,629627,1651736,1.0,,,,,,,1,1,,0.0
31,31,572413,1,515794,1669897,1.0,4.0,4.0,-2.24962,-165.651,6.71518,-165.251,1,1,45.0,53.70331606525152
32,32,515794,0,629627,1679456,1.0,,,,,,,1,1,,0.0
33,33,572413,1,505965,1692111,1.0,4.0,4.0,-2.24962,-165.651,-3.88606,-166.186,1,1,45.0,53.70331606525152
34,34,505965,0,515794,1692798,1.0,,,,,,,1,1,58.0,71.36260669364304
35,35,572413,1,629627,1695281,1.0,4.0,4.0,-2.24962,-165.651,-1.16067,-162.983,1,1,45.0,53.70331606525152
36,36,505965,0,515794,1720161,1.0,,,,,,,1,1,58.0,71.36260669364304
37,37,572413,1,515794,1732391,1.0,4.0,4.0,-2.24962,-165.651,6.71518,-165.251,1,1,45.0,53.70331606525152
38,38,515794,0,505965,1732586,1.0,,,,,,,1,1,,0.0
