,Unnamed: 0_x,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Source_NodeType,Target_NodeType,similar_template_node,similarity
0,0,614761,4,514306,-209742644,0.1,,,,,,,1,3,0.0,71.99120694907899
1,1,614761,1,542965,1672686,1.0,1.0,2.0,-27.7842,-8.74823,-21.896,89.4,1,1,0.0,71.99120694907899
2,2,538892,1,572391,1749455,1.0,2.0,2.0,-23.5953,91.3571,-21.1411,91.1427,1,1,45.0,74.86360671222461
3,3,538892,0,614761,2020424,1.0,,,,,,,1,1,45.0,74.86360671222461
4,4,614761,1,500813,2220686,1.0,1.0,1.0,-27.7842,-8.74823,-29.1714,-10.493,1,1,0.0,71.99120694907899
5,5,500813,0,542965,2274331,1.0,,,,,,,1,1,,0.0
6,6,500813,0,614761,2380177,1.0,,,,,,,1,1,,0.0
7,7,614761,0,542965,2430149,1.0,,,,,,,1,1,0.0,71.99120694907899
8,8,500813,1,542965,2476844,1.0,1.0,2.0,-29.1714,-10.493,-21.896,89.4,1,1,,0.0
9,9,500813,0,538892,2975300,1.0,,,,,,,1,1,,0.0
10,10,500813,1,614761,3117621,1.0,1.0,1.0,-29.1714,-10.493,-27.7842,-8.74823,1,1,,0.0
11,11,614761,1,500813,3346166,1.0,1.0,1.0,-27.7842,-8.74823,-29.1714,-10.493,1,1,0.0,71.99120694907899
12,12,614761,0,542965,3657899,1.0,,,,,,,1,1,0.0,71.99120694907899
13,13,538892,1,500813,3695899,1.0,2.0,1.0,-23.5953,91.3571,-29.1714,-10.493,1,1,45.0,74.86360671222461
14,14,614761,1,572391,3942418,1.0,1.0,2.0,-27.7842,-8.74823,-21.1411,91.1427,1,1,0.0,71.99120694907899
15,15,500813,0,572391,4119524,1.0,,,,,,,1,1,,0.0
16,16,500813,1,572391,4270415,1.0,1.0,2.0,-29.1714,-10.493,-21.1411,91.1427,1,1,,0.0
17,17,493094,0,572391,4299598,1.0,,,,,,,1,1,56.0,74.1171651954063
18,18,536003,0,572391,4571584,1.0,,,,,,,1,1,589943.0,74.44977950253043
19,19,536003,0,493094,4606382,1.0,,,,,,,1,1,589943.0,74.44977950253043
