,Unnamed: 0,node_id,similar_template_node,similarity
29,29,457213,84,99.99981542013995
26,26,457661,76,99.75416574419567
25,25,474506,69,99.82641552156208
16,16,491639,70,99.86278845759236
28,28,504474,83,99.9998259886943
78,78,506422,606730,89.44569710847077
33,33,511817,71,99.36848256930168
58,58,516389,644226,76.86232021488777
77,77,536346,640784,99.99968860079062
5,5,551139,27,45.13849984022225
19,19,552748,57,27.74807302581342
7,7,574136,39,31.710130056548856
27,27,584010,82,99.999791636344
24,24,591194,45,32.9117206760969
0,0,591496,0,53.34920721244727
56,56,593195,503701,50.06313959056955
15,15,600532,80,73.05922925356886
1,1,621518,-99,99.99999999999996
30,30,641131,73,94.21061554096956
23,23,643087,79,72.9559381725564
34,34,656390,72,99.7681081585315
