,Unnamed: 0,node_id,similar_template_node,similarity
0,0,483999,0,53.45234825447503
30,30,499177,73,98.09422019856991
26,26,499467,76,99.7248155290231
42,42,503701,520660,77.64711738068202
18,18,524153,56,64.76885148062729
33,33,528019,71,99.34741465038822
12,12,530990,657187,46.35785353683063
15,15,549891,80,92.15735544772195
34,34,550251,72,99.74443685845058
73,73,552988,44,61.64165719058307
77,77,555931,640784,99.99132278931462
16,16,561157,70,98.2696691598038
11,11,571970,66,86.85523599504229
52,52,589943,523927,68.71927012092289
1,1,590442,-99,99.99999870578112
59,59,595581,632961,68.20734458892515
24,24,619322,45,63.12863624124503
25,25,625756,69,98.7949524898617
78,78,630626,606730,98.496684939774
2,2,632961,41,25.35499804745937
28,28,654641,83,99.99759445694356
14,14,657173,81,98.77419198304516
