,Unnamed: 0,node_id,similar_template_node,similarity
1,1,461577,-99,99.958425496089
0,0,464579,0,72.28684952278951
53,53,466907,580426,82.33251393666029
55,55,473173,642329,83.15136903706701
27,27,492039,82,99.98870467844196
16,16,499467,70,99.89106399477436
67,67,503218,503218,97.45985245009987
79,79,503701,52,85.69277496264529
34,34,516393,72,99.7259102829936
11,11,520660,66,86.37224221463353
75,75,523927,48,83.09798324302191
57,57,527449,571970,83.14312067142448
54,54,536346,595581,77.37980409642469
12,12,537281,657187,71.91002680566486
43,43,552988,552988,60.14731329629966
70,70,567195,36,85.75756098152642
2,2,569329,41,29.291359632957963
29,29,571670,84,99.99926407757934
51,51,571970,537281,77.89803068478358
72,72,580426,42,84.08055751725253
58,58,589943,644226,93.32315547293808
63,63,595298,616315,83.1547187741599
37,37,606730,86,97.41262211928148
33,33,611238,71,99.36219070200649
86,86,616315,62,84.95293896724641
42,42,630626,520660,88.29348302805508
83,83,632961,59,82.13041422879503
24,24,636721,45,76.29955976619797
47,47,639642,595298,55.062695663570885
84,84,642329,60,83.12876048487993
82,82,644226,55,85.70836429034844
77,77,645371,640784,99.96670549218445
14,14,657173,81,99.80016046029093
