,Unnamed: 0,node_id,similar_template_node,similarity
59,59,466907,632961,81.67463233784996
18,18,493094,56,74.1171651954063
29,29,499467,84,98.10614833133144
11,11,503218,66,86.87948682355504
74,74,503701,46,85.91380310049148
79,79,508898,52,85.29762742950201
1,1,514306,-99,100.0
62,62,520084,621924,79.67560513646367
63,63,523927,616315,80.79796803894534
37,37,534034,86,99.0675929121112
49,49,536003,589943,74.44977950253043
86,86,536951,62,84.20712753877562
24,24,538892,45,74.86360671222461
5,5,541619,27,74.25359869193079
43,43,552988,552988,59.39975005172593
67,67,570284,503218,99.01659661253996
40,40,571970,536346,84.08705915220503
20,20,572391,58,80.44983424370241
83,83,577992,59,81.11371752450154
38,38,578531,2,79.97613537548759
61,61,584736,620120,54.94945070849495
70,70,589943,36,85.09536221941143
65,65,595298,575030,81.62283454070402
82,82,595581,55,85.11761721675603
84,84,604113,60,82.2225195489299
78,78,606730,606730,98.5127057470972
41,41,610497,510031,83.24919371966567
0,0,614761,0,71.99120694907899
85,85,616315,61,85.08048867640606
32,32,629627,74,96.89895603521173
69,69,630626,35,82.40807887732934
51,51,632961,537281,86.63461825916339
77,77,643411,640784,99.9826603667423
34,34,657173,72,99.96745503941531
